Malaria cases reported,(Multiple Items),,,,,,,,,,,
,,,,,,,,,,,,
Sum of Malaria cases reported,Column Labels,,,,,,,,,,,
Row Labels,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Grand Total
Angola,1533485,1377992,1573422,1682870,1632282,1496834,1999868,2298979,2769305,3794253,3874892,24034182
Benin,,,889597,,68745,705839,1090602,1130558,1524739,1395618,1774022,8579720
Botswana,390,927,1024,1046,432,193,456,1346,326,716,1900,8756
Burkina Faso,44246,36514,182527,804539,428113,3858046,3769051,5428655,7015446,9779411,10255415,41601963
Burundi,1101644,876741,1185622,1763447,1575237,2166690,4178338,4726299,5428710,8793176,8453810,40249714
Cabo Verde,,,,,,,,,,,423,423
Cameroon,,,,,33086,66656,69232,,1193281,1694002,1317371,4373628
Central African Republic,,,,,,87566,163701,295088,598833,1032764,383309,2561261
Chad,48288,47757,,200448,181126,7710,754565,914032,787046,1294768,1962372,6198112
Comoros,38913,38917,38920,36538,24856,49840,53156,2203,1300,1143,3230,289016
"Congo, Dem. Rep.",740858,2270,1879694,2417780,4561981,4791598,6719887,10288519,12538805,16821130,16793002,77555524
"Congo, Rep.",103213,117291,92855,,37744,120319,43232,66323,51529,171847,127939,932292
Cote d'Ivoire,,3527,7388,62726,29976,1140627,2524326,3712831,3375904,3645081,3475953,17978339
Djibouti,2320,2289,2686,1010,2189,2153,1684,9439,9473,13804,14671,61718
Equatorial Guinea,6287,9503,14184,53813,22466,15169,16405,20417,15142,147714,15725,336825
Eritrea,15565,8764,11759,35982,34848,21815,21317,50534,28036,24251,54005,306876
Eswatini,,,106,268,549,562,962,711,157,350,724,4389
Ethiopia,451816,458561,1144640,1158197,1480306,1692578,2645454,2118815,1867059,1718504,1530739,16266669
Gabon,45186,40701,660,13936,,19753,28982,31900,23867,23915,35244,264144
"Gambia, The",,39164,50378,116353,268020,313469,242513,168256,245435,159997,72412,1675997
Ghana,476484,1094483,1104370,1071637,1041260,3755166,1639451,3415912,4319919,4505442,5584185,28008309
Guinea,44518,33405,35841,20936,95574,340258,211257,660207,810979,992146,1335323,4580444
Guinea-Bissau,14284,11299,11757,50391,71982,50381,54584,93431,146027,152404,92846,749386
Kenya,,839903,,898531,1002805,1453471,2375129,2851555,1581168,2931406,3419883,17353851
Liberia,492272,606952,839581,922173,1921159,1412629,1244220,881224,941711,1191137,1783968,12237026
Madagascar,48497,93234,215110,202450,224498,402900,433450,468743,937241,655480,935229,4616832
Malawi,,,,,304499,1564984,1280892,2905310,3661238,4827373,4901344,19445640
Mali,,,,239787,307035,968136,1506940,2220956,2454508,2311098,2097797,12106257
Mauritania,,302,940,6367,5991,9037,13085,15835,22631,23042,20105,117335
Mozambique,141663,120259,93874,1522577,1756874,1853276,3282172,7407175,8222814,9690873,9892601,43984158
Namibia,4242,1092,505,556,1860,194,4911,15914,12168,25198,54268,120908
Niger,268164,682685,309675,642774,838585,2329260,2373591,2010489,2392108,4258110,2761268,18866709
Nigeria,,143079,479845,551187,,,,7826954,7131972,12293820,11639713,40066570
Rwanda,382686,316242,698745,669322,273293,563852,1040557,1719904,2694566,4725577,4413473,17498217
Sao Tome and Principe,2421,6258,6182,2740,8442,10701,9243,1754,2058,2238,2239,54276
Senegal,118332,241926,165933,330331,274119,280241,366687,268912,492253,349540,395706,3283980
Sierra Leone,,176356,646808,934028,638859,1537322,1701958,1374476,1483376,1775306,1651236,11919725
Somalia,16675,36905,25202,24833,3351,35712,8944,11001,20953,35628,35138,254342
South Africa,6327,7796,6072,8060,9866,6621,8645,11705,1157,4323,22517,93089
South Sudan,,52011,,900283,112024,225371,262520,71377,24371,7619,1488005,3143581
Sudan,686908,569296,711462,720557,506806,526931,592383,1068506,586827,575015,720879,7265570
Tanzania,1845917,4508,211,1278998,2150761,1986955,1550250,680442,4241364,5188863,5354819,24283088
Togo,258716,397283,571611,1006702,519450,909129,965334,1524339,1508015,1746234,1755577,11162390
Uganda,1045378,979298,1301337,1581160,231873,2662258,1502362,3631939,7137662,9385132,11667831,41126230
Zambia,,,,,,,,4077547,4184661,4851319,5505639,18619166
Zimbabwe,116518,32788,114028,249379,319935,276963,422633,548276,482379,314003,467508,3344410
Grand Total,10102213,9508278,14414551,22184712,23002857,39719165,47174929,77028788,92968519,123330770,128146255,587581037
